,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Anthus cervinus,Anthus cervinus,Roodkeelpieper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Anthus pratensis,Anthus pratensis,Graspieper ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Anthus spinoletta,Anthus spinoletta,Waterpieper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Anthus trivialis,Anthus trivialis,Boompieper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Apus apus,Apus apus,Gierzwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Ardea cinerea,Ardea cinerea,Blauwe reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Ardea purpurea,Ardea purpurea,Purperreiger,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Asio flammeus ,Asio flammeus ,Velduil,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Asio otus,Asio otus,Ransuil,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Athene noctua,Athene noctua,Steenuil,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Aythya ferina,Aythya ferina,Tafeleend,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Aythya fuligula,Aythya fuligula,Kuifeend,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Bombycilla garrulus,Bombycilla garrulus,Pestvogel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Botaurus stellaris,Botaurus stellaris,Roerdomp,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Branta leucopsis,Branta leucopsis,Brandgans,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Branta ruficollis,Branta ruficollis,Roodhalsgans,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Bubo bubo,Bubo bubo,Oehoe,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Bubulcus ibis,Bubulcus ibis,Koereiger,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Bucephala clangula,Bucephala clangula,Brilduiker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Buteo buteo,Buteo buteo,Buizerd,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Calcarius lapponicus,Calcarius lapponicus,Ijsgors ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Calidris alpina,Calidris alpina,Bonte strandloper,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Calidris temminckii,Calidris temminckii,Temmincks strandloper,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Carduelis cabaret,Carduelis cabaret,Kleine barmsijs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Carduelis cannabina,Carduelis cannabina,Kneu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Carduelis carduelis,Carduelis carduelis,Putter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Casmerodius albus ,Casmerodius albus ,Grote zilverreiger,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
