,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Anthemis tinctoria,Anthemis tinctoria,Gele kamille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anthoxanthum aristatum,Anthoxanthum aristatum,Slofhak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anthoxanthum odoratum,Anthoxanthum odoratum,Gewoon reukgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anthriscus sylvestris,Anthriscus sylvestris,Fluitenkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anthyllis vulneraria,Anthyllis vulneraria,Wondklaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Aphanes arvensis,Aphanes arvensis,Grote leeuwenklauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Apium graveolens,Apium graveolens,Selderij,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Apium inundatum,Apium inundatum,Ondergedoken moerasscherm ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arabidopsis arenosa ,Arabidopsis arenosa ,Zandscheefkelk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arabidopsis thaliana,Arabidopsis thaliana,Zandraket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arabis arenosa,Arabis arenosa,Rozetsteenkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arabis glabra,Arabis glabra,Torenkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arabis hirsuta subsp. hirsuta,Arabis hirsuta subsp. hirsuta,Ruige scheefkelk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arabis hirsuta subsp. sagittata,Arabis hirsuta subsp. sagittata,Pijlscheefkelk,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Arctium tomentosum,Arctium tomentosum,Donzige klit ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Aristolochia clematitis,Aristolochia clematitis,Pijpbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Armeria maritima,Armeria maritima,Engels gras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Armoracia rusticana,Armoracia rusticana,Mierik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Arnica montana,Arnica montana,Valkruid,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Arnoseris minima,Arnoseris minima,Korensla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Artemisia absinthium,Artemisia absinthium,Absintalsem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Artemisia campestris subsp. campestris,Artemisia campestris subsp. campestris,Wilde averuit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Artemisia vulgaris,Artemisia vulgaris,Bijvoet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Asperugo procumbens,Asperugo procumbens,Scherpkruid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,Zwartsteel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Asplenium scolopendrium,Asplenium scolopendrium,Tongvaren,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Asplenium trichomanes,Asplenium trichomanes,Steenbreekvaren,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Aster lanceolatus,Aster lanceolatus,Smalle aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Aster tradescantii,Aster tradescantii,Kleine aster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Astragalus glycyphyllos,Astragalus glycyphyllos,Hokjespeul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Athyrium filix-femina,Athyrium filix-femina,Wijfjesvaren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Atropa bella-donna,Atropa bella-donna,Wolfskers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Azolla cristata,Azolla cristata,Kleine kroosvaren,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Baldellia ranunculoides subsp. ranunculoides,Baldellia ranunculoides subsp. ranunculoides,Stijve moerasweegbree,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Baldellia ranunculoides subsp. repens ,Baldellia ranunculoides subsp. repens ,Kruipende moerasweegbree,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ballota nigra subsp. foetida,Ballota nigra subsp. foetida,Stinkende ballote ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Barbarea intermedia,Barbarea intermedia,Bitter barbarakruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Berteroa incana,Berteroa incana,Grijskruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bidens radiata,Bidens radiata,Riviertandzaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bidens tripartita,Bidens tripartita,Veerdelig tandzaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Blechnum spicant,Blechnum spicant,Dubbelloof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bolboschoenus maritimus,Bolboschoenus maritimus,Heen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Brachypodium sylvaticum,Brachypodium sylvaticum,Boskortsteel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Briza media,Briza media,Bevertjes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bromopsis erecta,Bromopsis erecta,Bergdravik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bromopsis inermis subsp. inermis,Bromopsis inermis subsp. inermis,Kweekdravik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bromus racemosus,Bromus racemosus,Trosdravik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bromus secalinus,Bromus secalinus,Dreps,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Buddleja davidii,Buddleja davidii,Vlinderstruik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Bunias orientalis,Bunias orientalis,Grote hardvrucht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Butomus umbellatus,Butomus umbellatus,Zwanenbloem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Calamagrostis pseudophragmites,Calamagrostis pseudophragmites,Rivierstruisriet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Calepina irregularis,Calepina irregularis,Kalkraket,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Callitriche cophocarpa,Callitriche cophocarpa,Gekield sterrenkroos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Callitriche palustris,Callitriche palustris,Klein sterrenkroos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Callitriche stagnalis,Callitriche stagnalis,Moerassterrekroos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Caltha palustris,Caltha palustris,Dotterbloem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Caltha palustris subsp. araneosa,Caltha palustris subsp. araneosa,Spindotterbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Calystegia sepium,Calystegia sepium,Haagwinde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Camelina sativa subsp. alyssum,Camelina sativa subsp. alyssum,Huttentut,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Campanula glomerata,Campanula glomerata,Kluwenklokje,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Campanula latifolia,Campanula latifolia,Breed klokje ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Campanula patula,Campanula patula,Weideklokje,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Campanula persicifolia,Campanula persicifolia,Prachtklokje,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Campanula rapunculoides,Campanula rapunculoides,Akkerklokje,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Campanula rapunculus,Campanula rapunculus,Rapunzelklokje,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Campanula rotundifolia,Campanula rotundifolia,Grasklokje,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Campanula trachelium,Campanula trachelium,Ruig klokje ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Capsella bursa-pastoris,Capsella bursa-pastoris,Herderstasje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cardamine amara,Cardamine amara,Bittere veldkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cardamine impatiens,Cardamine impatiens,Springzaadveldkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cardamine pratensis,Cardamine pratensis,Pinksterbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carduus acanthoides,Carduus acanthoides,Langstekelige distel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carduus nutans,Carduus nutans,Knikkende distel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex acuta,Carex acuta,Scherpe zegge ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex appropinquata,Carex appropinquata,Paardenhaarzegge,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex caryophyllea,Carex caryophyllea,Voorjaarszegge,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex diandra,Carex diandra,Ronde zegge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex digitata,Carex digitata,Vingerzegge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex divulsa,Carex divulsa,Groene bermzegge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex flava,Carex flava,Gele zegge ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex hirta,Carex hirta,Ruige zegge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex hostiana,Carex hostiana,Blonde zegge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex laevigata,Carex laevigata,Gladde zegge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex lasiocarpa,Carex lasiocarpa,Draadzegge,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex lepidocarpa,Carex lepidocarpa,Schubzegge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex muricata,Carex muricata,Dichte bermzegge ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex otrubae,Carex otrubae,Valse voszegge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex pallescens,Carex pallescens,Bleke zegge ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex pendula,Carex pendula,Hangende zegge ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex praecox,Carex praecox,Vroege zegge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex pulicaris,Carex pulicaris,Vlozegge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex remota,Carex remota,Wijdaardzegge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex rostrata,Carex rostrata,Snavelzegge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex strigosa,Carex strigosa,Slanke zegge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carex vulpina,Carex vulpina,Voszegge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carlina vulgaris,Carlina vulgaris,Driedistel ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Carum carvi,Carum carvi,Echte karwij,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Catapodium rigidum,Catapodium rigidum,Stijf hardgras,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Centaurea calcitrapa,Centaurea calcitrapa,Kalketrip,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Centaurea cyanus,Centaurea cyanus,Korenbloem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Centaurea scabiosa,Centaurea scabiosa,Grote centaurie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Centaurium erythraea,Centaurium erythraea,Echt duizendguldenkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Centaurium pulchellum,Centaurium pulchellum,Fraai duizendguldenkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Centunculus minimus ,Centunculus minimus ,Dwergbloem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cerastium fontanum subsp. holosteoides,Cerastium fontanum subsp. holosteoides,Glanzige hoornbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cerastium fontanum subsp. vulgare,Cerastium fontanum subsp. vulgare,Gewone hoornbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cerastium semidecandrum,Cerastium semidecandrum,Zandhoornbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ceratophyllum demersum,Ceratophyllum demersum,Grof hoornblad ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ceterach officinarum,Ceterach officinarum,Schubvaren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chaerophyllum bulbosum,Chaerophyllum bulbosum,Knolribzaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chenopodium album,Chenopodium album,Melganzenvoet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chenopodium ambrosioides,Chenopodium ambrosioides,Welriekende ganzevoet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chenopodium bonus-henricus,Chenopodium bonus-henricus,Brave hendrik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chenopodium hybridum,Chenopodium hybridum,Esdoornganzevoet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chenopodium pumilio,Chenopodium pumilio,Liggende ganzenvoet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chondrilla juncea,Chondrilla juncea,Knikbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,Paarbladig goudveil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cicendia filiformis,Cicendia filiformis,Draadgentiaan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cirsium arvense,Cirsium arvense,Akkerdistel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cirsium dissectum,Cirsium dissectum,Spaanse ruiter ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Cirsium eriophorum,Cirsium eriophorum,Wollige distel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cirsium oleraceum,Cirsium oleraceum,Moesdistel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Cladium mariscus,Cladium mariscus,Galigaan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Clematis vitalba,Clematis vitalba,Bosrank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Clinopodium acinos,Clinopodium acinos,Kleine steentijm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Clinopodium menthifolium,Clinopodium menthifolium,Bergsteentijm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Clinopodium vulgare,Clinopodium vulgare,Borstelkrans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cochlearia officinalis subsp. officinalis,Cochlearia officinalis subsp. officinalis,Echt lepelblad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Colchicum autumnale,Colchicum autumnale,Wilde herfsttijloos,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Conium maculatum,Conium maculatum,Gevlekte scheerling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Consolida regalis,Consolida regalis,Wilde ridderspoor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cornus mas,Cornus mas,Gele kornoelje,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Corrigiola litoralis,Corrigiola litoralis,Riempjes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Corydalis solida,Corydalis solida,Vingerhelmbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Crassula tillaea,Crassula tillaea,Mosbloempje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Crepis paludosa,Crepis paludosa,Moerasstreepzaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cruciata laevipes,Cruciata laevipes,Kruisbladwalstro,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cucubalus baccifer,Cucubalus baccifer,Besanjelier,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cuscuta campestris,Cuscuta campestris,Veldwarkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cuscuta epithymum,Cuscuta epithymum,Klein warkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cuscuta europaea,Cuscuta europaea,Groot warkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cuscuta gronovii,Cuscuta gronovii,Oeverwarkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cuscuta lupuliformis,Cuscuta lupuliformis,Hopwarkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cynoglossum officinale,Cynoglossum officinale,Veldhondstong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cynosurus cristatus,Cynosurus cristatus,Kamgras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cyperus flavescens,Cyperus flavescens,Geel cypergras,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cyperus fuscus,Cyperus fuscus,Bruin cypergras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Cystopteris fragilis,Cystopteris fragilis,Blaasvaren,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Dactylis glomerata,Dactylis glomerata,Kropaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Dactylorhiza incarnata,Dactylorhiza incarnata,Vleeskleurige orchis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Dactylorhiza maculata,Dactylorhiza maculata,Gevlekte orchis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Dactylorhiza majalis subsp. majalis,Dactylorhiza majalis subsp. majalis,Brede orchis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Dactylorhiza majalis subsp. praetermissa,Dactylorhiza majalis subsp. praetermissa,Rietorchis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Daucus carota,Daucus carota,Peen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Deschampsia cespitosa,Deschampsia cespitosa,Reuzenzwenkgras ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Dianthus armeria,Dianthus armeria,Ruige anjer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Dianthus carthusianorum,Dianthus carthusianorum,Karthuizer anjer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Dianthus deltoides,Dianthus deltoides,Steenanjer,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Dipsacus fullonum,Dipsacus fullonum,Grote kaardebol,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Dipsacus pilosus,Dipsacus pilosus,Kleine kaardebol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Draba muralis,Draba muralis,Wit hongerbloempje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Drosera intermedia,Drosera intermedia,Kleine zonnedauw,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Drosera rotundifolia,Drosera rotundifolia,Ronde zonnedauw,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Dryopteris filix-mas,Dryopteris filix-mas,Mannetjesvaren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Echinops sphaerocephalus,Echinops sphaerocephalus,Beklierde kogeldistel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Elatine hydropiper,Elatine hydropiper,Klein glaskroos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eleocharis ovata,Eleocharis ovata,Eivormige waterbies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eleocharis palustris,Eleocharis palustris,Gewone waterbies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eleocharis quinqueflora,Eleocharis quinqueflora,Armbloemige waterbies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eleogiton fluitans,Eleogiton fluitans,Vlottende bies ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Elodea canadensis,Elodea canadensis,Brede waterpest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Elymus caninus,Elymus caninus,Hondstarwegras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Elytrigia repens,Elytrigia repens,Kweek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Epilobium hirsutum,Epilobium hirsutum,Harig wilgenroosje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Epilobium palustre,Epilobium palustre,Moerasbasterwederik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Epipactis helleborine,Epipactis helleborine,Brede wespenorchis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Epipactis palustris,Epipactis palustris,Moeraswespenorchis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Equisetum arvense,Equisetum arvense,Heermoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum fluviatile,Equisetum fluviatile,Holpijp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum hyemale,Equisetum hyemale,Schaafstro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum ramosissimum,Equisetum ramosissimum,Vertakte paardenstaart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum sylvaticum,Equisetum sylvaticum,Bospaardenstaart,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum telmateia,Equisetum telmateia,Reuzenpaardenstaart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum variegatum,Equisetum variegatum,Bonte paardenstaart,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Equisetum x moorei,Equisetum x moorei,Vertakt schaafstro ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Erica cinerea,Erica cinerea,Rode dophei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Erigeron annuus,Erigeron annuus,Zomerfijnstraal ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eriophorum vaginatum,Eriophorum vaginatum,Eenarig wollegras ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Erodium cicutarium subsp. cicutarium,Erodium cicutarium subsp. cicutarium,Gewone reigersbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Erodium cicutarium subsp. dunense,Erodium cicutarium subsp. dunense,Duinreigersbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Erucastrum gallicum,Erucastrum gallicum,Schijnraket ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eryngium campestre,Eryngium campestre,Kruisdistel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Eryngium maritimum,Eryngium maritimum,Blauwe zeedistel,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Erysimum virgatum,Erysimum virgatum,Stijve steenraket,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphorbia amygdaloides,Euphorbia amygdaloides,Amandelwolfsmelk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphorbia cyparissias,Euphorbia cyparissias,Cipreswolfsmelk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphorbia exigua,Euphorbia exigua,Kleine wolfsmelk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphorbia palustris,Euphorbia palustris,Moeraswolfsmelk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Euphorbia platyphyllos,Euphorbia platyphyllos,Brede wolfsmelk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
