km,dikeraising_evr_smooth,dikeraising_lrg_smooth,groynelowering_evr_smooth,groynelowering_lrg_smooth,lowering_evr_natural,lowering_evr_smooth,lowering_lrg_natural,lowering_lrg_smooth,minemblowering_evr_smooth,minemblowering_lrg_smooth,reference_FM_dQdh,sidechannel_evr_natural,sidechannel_evr_smooth,sidechannel_lrg_natural,sidechannel_lrg_smooth,smoothing_evr_natural,smoothing_evr_smooth,smoothing_lrg_natural,smoothing_lrg_smooth
878.0,0.0,0.0,-0.0382038314408,-0.0360575716288,-1.06934849962,-1.14511088128,-0.433404749802,-0.462132708581,-0.0629763801054,-0.0270196023279,0.0,-0.296714160147,-0.335082886519,-0.117710058249,-0.136349691103,-0.0851805184265,-0.160131513485,-0.0407849246315,-0.0911468975218
879.0,0.0,0.0,-0.0363590120203,-0.0342176135186,-1.06085612338,-1.13547914559,-0.413776074026,-0.441074098239,-0.0641506197937,-0.0267542042474,0.0,-0.282296605598,-0.317724052306,-0.105703510012,-0.122192554856,-0.0815959684216,-0.156510794063,-0.0363042603761,-0.0860647847868
880.0,0.0,0.0,-0.0359321202652,-0.0337029635276,-1.01280060513,-1.08802829946,-0.404979120232,-0.432489211968,-0.0539040038292,-0.0223065067379,0.0,-0.260054885143,-0.293181796861,-0.0856754084499,-0.100709174023,-0.0716167454019,-0.148466356618,-0.0294838689507,-0.0812732312584
881.0,0.0,0.0,-0.0360562102512,-0.0336333572399,-1.00407548126,-1.0781118123,-0.415704579253,-0.443531110899,-0.0505803583291,-0.0229511171285,0.0,-0.25622667844,-0.290021089901,-0.0767212671257,-0.0912880143271,-0.0729830594697,-0.149884729277,-0.0303530600201,-0.0821486981708
882.0,0.0,0.0,-0.0243699453554,-0.0217015170792,-0.951851577976,-1.0251043717,-0.375395804869,-0.402727846064,-0.0417214452251,-0.0139658261453,0.0,-0.25743101233,-0.290664470204,-0.0708408228756,-0.0819202619927,-0.0603147427911,-0.138711236149,-0.0182602798066,-0.0696343998503
883.0,0.0,0.0,-0.0218830151198,-0.0199412699181,-0.957207352011,-1.02805372402,-0.355146914098,-0.38029558415,-0.0438505434795,-0.014970930671,0.0,-0.251702430433,-0.28424051793,-0.0609409978124,-0.0705952568839,-0.0644418579277,-0.142027881358,-0.0191697778411,-0.069531417067
884.0,0.0,0.0,-0.0198902594225,-0.0173854541634,-0.980805412396,-1.05647902781,-0.365375404939,-0.391992193613,-0.0500782552364,-0.0176553691419,0.0,-0.267064746106,-0.299578038018,-0.0646580501292,-0.0743293369706,-0.0714661920982,-0.151832930123,-0.0229705646212,-0.0741917886087
885.0,0.0,0.0,-0.0163736043873,-0.0132535138061,-1.16695612288,-1.25247285411,-0.472703470848,-0.503153883145,-0.0579785634319,-0.0226840884349,0.0,-0.284129322245,-0.317810153418,-0.0686227176462,-0.0792681815786,-0.0861966711832,-0.171394028017,-0.0323762570373,-0.0860518987996
886.0,0.0,0.0,-0.0106900883997,-0.00807150787167,-1.15415098195,-1.24080465343,-0.442926654836,-0.472450844704,-0.0596069843607,-0.0229742808097,0.0,-0.298107710526,-0.333807487767,-0.0721747607567,-0.0834354035375,-0.0848336091066,-0.170537164492,-0.0299936886838,-0.0838764330941
887.0,0.0,0.0,-0.00927866847726,-0.00660952110208,-1.12692811576,-1.21246071038,-0.428026522925,-0.456792620641,-0.0575092172208,-0.0204537285405,0.0,-0.301400094726,-0.339047563858,-0.0719866504995,-0.0837067539078,-0.0816442710693,-0.167054442382,-0.0280068611313,-0.0818955864454
888.0,0.0,0.0,-0.0105428742839,-0.00781740989937,-1.09764067016,-1.182997621,-0.419347737784,-0.448682238983,-0.0536051544853,-0.0196013155232,0.0,-0.303038961375,-0.342049127884,-0.0739562604686,-0.0862108956404,-0.0768947708279,-0.162824030328,-0.026802946763,-0.0820173551997
889.0,0.0,0.0,-0.00998996037974,-0.00693996679618,-1.03753220772,-1.12348506848,-0.43671692384,-0.467906620733,-0.0488520747876,-0.0212430772108,0.0,-0.263988680795,-0.300120666485,-0.0797397109141,-0.0925810661534,-0.056682269466,-0.14505454266,-0.0203779798494,-0.077253931051
890.0,0.0,0.0,-0.011280241099,-0.00805493605104,-1.02151800263,-1.1075878352,-0.442688773399,-0.475050326131,-0.0580638153413,-0.0232732007232,0.0,-0.226718169497,-0.258809121164,-0.0848138390651,-0.0986182110411,-0.0473998197081,-0.135239455559,-0.0194993928438,-0.0765298334836
891.0,0.0,0.0,-0.0118831714547,-0.00858424795108,-1.03204855884,-1.11768991627,-0.413362089705,-0.444253271874,-0.0590124496013,-0.0215655222504,0.0,-0.242250580018,-0.281524909294,-0.0684272911593,-0.0811179755544,-0.0617816679413,-0.150481791734,-0.0207821529384,-0.0764858736857
892.0,0.0,0.0,-0.0125856761675,-0.00906758712117,-1.02431113584,-1.10911458577,-0.359987382621,-0.387540462987,-0.0583866199867,-0.0188098449021,0.0,-0.225955569371,-0.261931313546,-0.0405927854747,-0.0482624165318,-0.0647315451066,-0.153787338181,-0.0196753168832,-0.0734859155643
893.0,0.0,0.0,-0.0132775129754,-0.00945068304371,-1.04160526748,-1.12775253494,-0.354788897099,-0.381333894542,-0.0625064600965,-0.0205125379654,0.0,-0.229158642457,-0.266101831192,-0.0309274623077,-0.0378564987366,-0.0576458531621,-0.145989591764,-0.015105248988,-0.0674810557348
894.0,0.0,0.0,-0.0139489403388,-0.0100084562404,-1.03037460459,-1.11700871223,-0.355593329877,-0.381801305215,-0.0662047269942,-0.0226629245648,0.0,-0.252342045071,-0.292755686584,-0.0447634984783,-0.0531586169923,-0.0599741946321,-0.148493536107,-0.0154080729771,-0.0676887537768
895.0,0.0,0.0,-0.0145412320776,-0.010500611657,-1.04082597775,-1.1262155981,-0.370036824421,-0.396679018576,-0.0679887515928,-0.0238237506973,0.0,-0.235025940114,-0.275558621471,-0.0361825813839,-0.0432516463617,-0.0655714442141,-0.153084936324,-0.0229458696147,-0.0760518163902
896.0,0.0,0.0,-0.0151845837248,-0.0109781191646,-1.03764017421,-1.12160609299,-0.369788319822,-0.395891026521,-0.0684100010881,-0.0247322209486,0.0,-0.217358784463,-0.254110664128,-0.0332555776145,-0.0404661112925,-0.0679979740308,-0.154577500055,-0.0201485806618,-0.0721768453293
897.0,0.0,0.0,-0.0158492932372,-0.0114677378022,-1.03219621452,-1.11461664309,-0.375057936126,-0.40229462064,-0.0632428058816,-0.0255282003411,0.0,-0.192374358559,-0.22558776383,-0.0365802485525,-0.044837065572,-0.0796415875638,-0.16614241196,-0.0270603290469,-0.0796490802499
898.0,0.0,0.0,-0.0128687165381,-0.0119131367624,-0.988232981847,-1.07159164874,-0.408504921918,-0.438078807828,-0.0542256069675,-0.0270624942354,0.0,-0.154569063818,-0.193526608816,-0.0402220354152,-0.0489636537554,-0.0782064736494,-0.166951307632,-0.028560912253,-0.0835583620649
899.0,0.0,0.0,-0.0132389208982,-0.0124022147156,-0.959787029012,-1.04198812246,-0.417800849555,-0.448294867946,-0.0583612615217,-0.0284808591666,0.0,-0.155275236011,-0.198697996935,-0.0427179889715,-0.0521037645706,-0.0783012259456,-0.166911353984,-0.0345297383842,-0.0898606204819
